Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
0414_013,0.02870983022019901,0,0.0016583141633623082,0.15634568058033468,0.03693791573112408,0.13716703595652005,0,0,0.0038937882481221834,0,0.07466709141079683,0.06062838003392662,0.4790061877554051,0.0002,0,0.0030329213907180673,0,0.0003,0.017433467901429172,0,0,0,0,0.7707146013765082,0.6672286384027083
1425_143,0.035348133429415174,0.0135451570784727,0,0.30106928435465014,0.03532403683126223,0.13894464871332504,0.0013964797983991191,0,0.04448950999307398,0,0.04986557836857183,0.060535344689044,0.3067268408651504,0,0,0.00421191053849863,0,0.0007,0.00781223074706194,0,0,0,0,0.7662018903133514,0.672636961031299
1453_103,0.01749604467601208,0,0,0.3748171016122592,0,0,0.03561851426169412,0,0,0,0.11263812146655774,0.0460754565122908,0.4011175998926628,0,0,0.008371130633630776,0,0,0.003866030944892522,0,0,0,0,0.7487109866175549,0.6788391143274786
1086_084,0.027175462990398466,0.002655180247381887,0,0.08329826109707673,0.021449651664328655,0.029208475701776787,0.020695228557491403,0,0.00835459797006765,0.00846894108132953,0.10570823327758351,0.0913495362933564,0.5680492032694623,0,0,0.008195581299009984,0,0.0033062352528594016,0.014375672727276254,0,0,0.007709738570601103,0,0.7285163014163187,0.6930060326776135
1403_124,0.010364600165136415,0.03760162875477294,0,0.15685037800526294,0.09070197031308086,0.18319706536934777,0,0,0.03204049389451916,0,0.06992129718243709,0.09496952981509924,0.31613762078713,0,0,0.0021834526380453533,0,0.0003,0.005702041723366629,0,0,0,0,0.7592215405469531,0.6809186955892291
1768_158,0.025878230190725555,0,0,0.20866584432183755,0.07326008728084422,0.04671385132342422,0.012238334582887823,0,0.0023817620960904238,0,0.0535188496814886,0.10714374985905771,0.4524570945508928,0.0007,0,0.003666993588726317,0,0,0.013422304139207896,0,0,0,0,0.7792983511138145,0.6579769480487658
1658_155,0.01946703286579164,0.013642830051697712,0,0.2764935416875705,0,0.10442715399015631,0,0,0,0,0.06715326079641573,0.04554655052668953,0.46463171720540136,0.0018180738917737012,0,0.004287395049106302,0,0.0025324439353971743,0,0,0,0,0,0.7385522251923778,0.6909910147017566
0127_028,0.04887895269952251,0,0,0.3157553753297993,0.004741472253322892,0.147151149603928,0.0073318927404078995,0,0.0068832939416068675,0,0.02627688471923461,0.10526302184337645,0.3153135043052204,0,0,0.008006265733843871,0,0.00302069747560778,0.011377489354129338,0,0,0,0,0.7467971311975504,0.6869350043963052
0480_104,0.014550872546320663,0.012104485262617447,0,0.3482816284201568,0.035016970995567914,0.00424498459273086,0.031817446285621526,0,0.013599559054069345,0,0.047188094667084624,0.10457549168520167,0.37539695556261016,0,0,0.005789284967368656,0,0.0016685086383324116,0,0.005765717322317884,0,0,0,0.8114436506719542,0.6263447324523614
0090_179,0.0248169001333218,0.008502952002138296,0,0.18278988644833807,0,0.1280049030120683,0,0.003208474925499725,0.009511760209239061,0.02315134630631737,0.1312745387684156,0.12134916012807899,0.3651409429729287,0,0,0.0018325792941769196,0,0.0004,0,0,0,0,0,0.7953099292306198,0.6327599918945055
